"ID","PW","NAME","GENDER","EMAIL","MOBILE","PHONE","ZIP","ROAD_ADDRESS","JIBUN_ADDRESS","DETAIL_ADDRESS","BIRTHDAY","JOINDATE"
"mbc_1053","#Abcd1234","송민빈","f","mbc_53@abcd.com","010-1234-1053","02-860-1234","08288","서울특별시 구로구 새말로 93 (구로동, 신도림태영타운)","서울특별시 구로구 구로동 1267 신도림태영타운","101동 1102호",2020-05-06,2015-09-15
"mbc_1054","#Abcd1234","오선훈","f","mbc_54@abcd.com","010-1234-1054","02-860-1234","08770","서울특별시 관악구 남부순환로 1430 (신림동, 신림푸르지오아파트)","서울특별시 관악구 신림동 1730 신림푸르지오아파트","114동 2301호",1938-02-22,2018-04-11
"mbc_1055","#Abcd1234","구남석","m","mbc_55@abcd.com","010-1234-1055","02-860-1234","08750","서울특별시 관악구 봉천로 387 (봉천동, 두산아파트)","서울특별시 관악구 봉천동 1708 두산아파트","110동 1213호",1928-04-28,2015-09-11
"mbc_1056","#Abcd1234","독고상연","f","mbc_56@abcd.com","010-1234-1056","02-860-1234","08208","서울특별시 구로구 경인로65길 16-15 (신도림동, 신도림4차 e-편한세상)","서울특별시 구로구 신도림동 646 신도림4차 e-편한세상","1113동 1602호",1923-05-08,2016-08-27
"mbc_1057","#Abcd1234","우운순","m","mbc_57@abcd.com","010-1234-1057","02-860-1234","08750","서울특별시 관악구 봉천로 387 (봉천동, 두산아파트)","서울특별시 관악구 봉천동 1708 두산아파트","110동 1303호",2015-04-29,2019-02-23
"mbc_1058","#Abcd1234","유정영","f","mbc_58@abcd.com","010-1234-1058","02-860-1234","08750","서울특별시 관악구 봉천로 387 (봉천동, 두산아파트)","서울특별시 관악구 봉천동 1708 두산아파트","106동 1107호",2000-10-01,2016-10-18
"mbc_1059","#Abcd1234","도만인","f","mbc_59@abcd.com","010-1234-1059","02-860-1234","08291","서울특별시 구로구 새말로9길 45 (구로동, 신도림현대아파트)","서울특별시 구로구 구로동 560 신도림현대아파트","102동 1418호",1906-09-08,2013-09-26
"mbc_1060","#Abcd1234","장나석","f","mbc_60@abcd.com","010-1234-1060","02-860-1234","08770","서울특별시 관악구 남부순환로 1430 (신림동, 신림푸르지오아파트)","서울특별시 관악구 신림동 1730 신림푸르지오아파트","116동 1813호",1986-10-12,2017-02-14
"mbc_1061","#Abcd1234","권만연","m","mbc_61@abcd.com","010-1234-1061","02-860-1234","08770","서울특별시 관악구 남부순환로 1430 (신림동, 신림푸르지오아파트)","서울특별시 관악구 신림동 1730 신림푸르지오아파트","104동 1107호",1911-10-25,2016-09-28
"mbc_1062","#Abcd1234","유승훈","f","mbc_62@abcd.com","010-1234-1062","02-860-1234","07376","서울특별시 영등포구 도신로 31 (대림동, 현대3차아파트)","서울특별시 영등포구 대림동 608-1 현대3차아파트","302동 2315호",1902-12-16,2024-02-20
"mbc_1063","#Abcd1234","하영한","f","mbc_63@abcd.com","010-1234-1063","02-860-1234","08208","서울특별시 구로구 경인로65길 16-15 (신도림동, 신도림4차 e-편한세상)","서울특별시 구로구 신도림동 646 신도림4차 e-편한세상","1106동 1206호",1938-06-14,2012-07-28
"mbc_1064","#Abcd1234","윤나수","f","mbc_64@abcd.com","010-1234-1064","02-860-1234","08208","서울특별시 구로구 경인로65길 16-15 (신도림동, 신도림4차 e-편한세상)","서울특별시 구로구 신도림동 646 신도림4차 e-편한세상","1110동 1703호",1914-07-24,2021-05-24
"mbc_1065","#Abcd1234","우강주","m","mbc_65@abcd.com","010-1234-1065","02-860-1234","08208","서울특별시 구로구 경인로65길 16-15 (신도림동, 신도림4차 e-편한세상)","서울특별시 구로구 신도림동 646 신도림4차 e-편한세상","1110동 2017호",1911-12-06,2011-02-10
"mbc_1066","#Abcd1234","문민빈","f","mbc_66@abcd.com","010-1234-1066","02-860-1234","08208","서울특별시 구로구 경인로65길 16-15 (신도림동, 신도림4차 e-편한세상)","서울특별시 구로구 신도림동 646 신도림4차 e-편한세상","1108동 1407호",2014-04-22,2020-05-28
"mbc_1067","#Abcd1234","오성연","f","mbc_67@abcd.com","010-1234-1067","02-860-1234","08750","서울특별시 관악구 봉천로 387 (봉천동, 두산아파트)","서울특별시 관악구 봉천동 1708 두산아파트","111동 1202호",2013-05-10,2014-04-22
"mbc_1068","#Abcd1234","우갑민","f","mbc_68@abcd.com","010-1234-1068","02-860-1234","07376","서울특별시 영등포구 도신로 31 (대림동, 현대3차아파트)","서울특별시 영등포구 대림동 608-1 현대3차아파트","301동 2817호",2003-11-25,2014-10-18
"mbc_1069","#Abcd1234","류정철","m","mbc_69@abcd.com","010-1234-1069","02-860-1234","08288","서울특별시 구로구 새말로 93 (구로동, 신도림태영타운)","서울특별시 구로구 구로동 1267 신도림태영타운","111동 1402호",1908-01-15,2013-09-01
"mbc_1070","#Abcd1234","배강제","m","mbc_70@abcd.com","010-1234-1070","02-860-1234","08750","서울특별시 관악구 봉천로 387 (봉천동, 두산아파트)","서울특별시 관악구 봉천동 1708 두산아파트","103동 1003호",1919-05-10,2010-05-14
"mbc_1071","#Abcd1234","추민석","f","mbc_71@abcd.com","010-1234-1071","02-860-1234","08291","서울특별시 구로구 새말로9길 45 (구로동, 신도림현대아파트)","서울특별시 구로구 구로동 560 신도림현대아파트","102동 1302호",1946-06-01,2010-10-16
"mbc_1072","#Abcd1234","심구한","m","mbc_72@abcd.com","010-1234-1072","02-860-1234","08750","서울특별시 관악구 봉천로 387 (봉천동, 두산아파트)","서울특별시 관악구 봉천동 1708 두산아파트","109동 1308호",1916-02-10,2016-07-16
"mbc_1073","#Abcd1234","양이한","f","mbc_73@abcd.com","010-1234-1073","02-860-1234","08288","서울특별시 구로구 새말로 93 (구로동, 신도림태영타운)","서울특별시 구로구 구로동 1267 신도림태영타운","112동 1208호",1966-09-12,2023-07-09
"mbc_1074","#Abcd1234","양숙한","m","mbc_74@abcd.com","010-1234-1074","02-860-1234","08750","서울특별시 관악구 봉천로 387 (봉천동, 두산아파트)","서울특별시 관악구 봉천동 1708 두산아파트","109동 1105호",1937-11-02,2013-03-31
"mbc_1075","#Abcd1234","손성빈","f","mbc_75@abcd.com","010-1234-1075","02-860-1234","08288","서울특별시 구로구 새말로 93 (구로동, 신도림태영타운)","서울특별시 구로구 구로동 1267 신도림태영타운","110동 1214호",1903-04-05,2019-09-07
